attempt_id,session_id,student_id,student_username,grade,mode,activity_id,game_type,task_type,task_family,prompt_id,target_text,attempt_no,valid_audio,invalid_reason,server_audio_duration_ms,speech_duration_sec,silence_ratio,pause_count,audio_quality_score,audio_quality_label,word_reading_target_word,word_reading_asr_text,word_reading_correct,word_reading_edit_distance,word_reading_similarity_score,character_error_rate,word_error_rate,possible_error,phoneme_status,target_phonemes,asr_phonemes,phoneme_edit_distance,phoneme_error_rate,phoneme_initial_sound_error,phoneme_final_sound_error,phoneme_vowel_mismatch,phoneme_consonant_cluster_error,phoneme_deletion_count,phoneme_insertion_count,phoneme_substitution_count,phoneme_error_pattern,phoneme_confidence,phoneme_warnings,pronunciation_model_prediction,pronunciation_model_score,stars_earned,manual_item_correct,manual_teacher_transcript,manual_error_type,speech_support_label,label_confidence,label_notes,labelled_by,labelled_at,created_at,participant_code,is_dummy_data
ATT-DUMMY-001,SES-DUMMY-001,STU-DUMMY-001,dummy_g2_01,2,identification,activity_identify_g2,leo_word,read_aloud_word,word,prompt_cat,cat,1,1,,1250,0.72,0.12,0,0.96,high,cat,cat,1,0,1,0,0,none,completed,k ae t,k ae t,0,0,0,0,0,0,0,0,0,none,0.98,,correct,0.96,3,1,cat,none,low_support,0.95,dummy_example,DUMMY_LABELER,2026-08-10T08:00:00.000Z,2026-08-10T07:59:00.000Z,P-DUMMY-01,1
ATT-DUMMY-002,SES-DUMMY-001,STU-DUMMY-001,dummy_g2_01,2,identification,activity_identify_g2,leo_pseudoword,read_aloud_pseudoword,pseudoword,prompt_mip,mip,1,1,,1180,0.68,0.14,0,0.93,high,mip,mip,1,0,1,0,0,none,completed,m ih p,m ih p,0,0,0,0,0,0,0,0,0,none,0.96,,correct,0.94,3,1,mip,none,low_support,0.95,dummy_example,DUMMY_LABELER,2026-08-10T08:00:00.000Z,2026-08-10T07:59:30.000Z,P-DUMMY-01,1
ATT-DUMMY-003,SES-DUMMY-002,STU-DUMMY-001,dummy_g2_01,2,improvement,activity_improve_g2,leo_sentence,read_aloud_sentence,sentence,prompt_sun,the sun shines,1,1,,2100,1.35,0.18,1,0.90,medium,the sun shines,the sun shines,1,0,1,0,0,none,completed,dh ah s ah n sh ay n z,dh ah s ah n sh ay n z,0,0,0,0,0,0,0,0,0,none,0.93,,correct,0.92,3,1,the sun shines,none,low_support,0.92,dummy_example,DUMMY_LABELER,2026-08-10T08:10:00.000Z,2026-08-10T08:09:00.000Z,P-DUMMY-01,1
ATT-DUMMY-004,SES-DUMMY-002,STU-DUMMY-001,dummy_g2_01,2,improvement,activity_improve_g2,leo_sentence,read_aloud_sentence,sentence,prompt_sun,the sun shines,2,1,,2240,1.42,0.20,2,0.88,medium,the sun shines,the sun shines,1,0,1,0,0,none,completed,dh ah s ah n sh ay n z,dh ah s ah n sh ay n z,0,0,0,0,0,0,0,0,0,none,0.91,retry,correct,0.90,3,1,the sun shines,none,low_support,0.92,dummy_example,DUMMY_LABELER,2026-08-10T08:10:00.000Z,2026-08-10T08:09:30.000Z,P-DUMMY-01,1
ATT-DUMMY-005,SES-DUMMY-003,STU-DUMMY-002,dummy_g3_02,3,identification,activity_identify_g3,leo_word,read_aloud_word,word,prompt_ship,ship,1,1,,1350,0.80,0.15,1,0.91,high,ship,ship,1,0,1,0,0,none,completed,sh ih p,sh ih p,0,0,0,0,0,0,0,0,0,none,0.95,,correct,0.93,3,1,ship,none,medium_support,0.86,dummy_example,DUMMY_LABELER,2026-08-10T08:20:00.000Z,2026-08-10T08:19:00.000Z,P-DUMMY-02,1
ATT-DUMMY-006,SES-DUMMY-003,STU-DUMMY-002,dummy_g3_02,3,identification,activity_identify_g3,leo_pseudoword,read_aloud_pseudoword,pseudoword,prompt_blaf,blaf,1,1,,1410,0.87,0.19,2,0.86,medium,blaf,baf,0,1,0.75,0.25,1,initial_sound_error,completed,b l ae f,b ae f,1,0.25,1,0,0,1,1,0,0,initial_deletion,0.88,,partial_match,0.79,1,0,baf,initial_sound_error,medium_support,0.86,dummy_example,DUMMY_LABELER,2026-08-10T08:20:00.000Z,2026-08-10T08:19:30.000Z,P-DUMMY-02,1
ATT-DUMMY-007,SES-DUMMY-004,STU-DUMMY-002,dummy_g3_02,3,improvement,activity_improve_g3,leo_word,read_aloud_word,word,prompt_frog,frog,1,0,background_noise,0,,,,,,frog,,0,,,,,invalid_audio,not_run,,,,,,,,,,,,,,,,,0,,,,medium_support,0.84,dummy_example,DUMMY_LABELER,2026-08-10T08:30:00.000Z,2026-08-10T08:29:00.000Z,P-DUMMY-02,1
ATT-DUMMY-008,SES-DUMMY-004,STU-DUMMY-002,dummy_g3_02,3,improvement,activity_improve_g3,leo_word,read_aloud_word,word,prompt_frog,frog,2,1,,1460,0.91,0.22,2,0.84,medium,frog,fog,0,1,0.75,0.25,1,consonant_cluster_error,completed,f r ao g,f ao g,1,0.25,0,0,0,1,1,0,0,cluster_deletion,0.86,retry,partial_match,0.76,1,0,fog,consonant_cluster_error,medium_support,0.84,dummy_example,DUMMY_LABELER,2026-08-10T08:30:00.000Z,2026-08-10T08:29:30.000Z,P-DUMMY-02,1
ATT-DUMMY-009,SES-DUMMY-005,STU-DUMMY-003,dummy_g4_03,4,identification,activity_identify_g4,leo_pseudoword,read_aloud_pseudoword,pseudoword,prompt_splim,splim,1,1,,1620,1.01,0.24,2,0.82,medium,splim,slim,0,1,0.8,0.2,1,consonant_cluster_error,completed,s p l ih m,s l ih m,1,0.2,0,0,0,1,1,0,0,cluster_deletion,0.85,,partial_match,0.74,1,0,slim,consonant_cluster_error,high_support,0.93,dummy_example,DUMMY_LABELER,2026-08-10T08:40:00.000Z,2026-08-10T08:39:00.000Z,P-DUMMY-03,1
ATT-DUMMY-010,SES-DUMMY-005,STU-DUMMY-003,dummy_g4_03,4,identification,activity_identify_g4,leo_sentence,read_aloud_sentence,sentence,prompt_bridge,the bridge is wide,1,1,,2460,1.58,0.27,3,0.80,medium,the bridge is wide,the big is wide,0,3,0.82,0.18,1,consonant_cluster_error,completed,dh ah b r ih jh ih z w ay d,dh ah b ih g ih z w ay d,2,0.2,0,0,0,1,1,0,1,cluster_substitution,0.82,,partial_match,0.72,1,0,the big is wide,consonant_cluster_error,high_support,0.93,dummy_example,DUMMY_LABELER,2026-08-10T08:40:00.000Z,2026-08-10T08:39:30.000Z,P-DUMMY-03,1
ATT-DUMMY-011,SES-DUMMY-006,STU-DUMMY-003,dummy_g4_03,4,improvement,activity_improve_g4,leo_word,read_aloud_word,word,prompt_thin,thin,1,1,,1520,0.93,0.23,2,0.83,medium,thin,tin,0,1,0.75,0.25,1,initial_sound_error,completed,th ih n,t ih n,1,0.33,1,0,0,0,0,0,1,initial_substitution,0.84,,partial_match,0.73,1,0,tin,initial_sound_error,high_support,0.91,dummy_example,DUMMY_LABELER,2026-08-10T08:50:00.000Z,2026-08-10T08:49:00.000Z,P-DUMMY-03,1
ATT-DUMMY-012,SES-DUMMY-006,STU-DUMMY-003,dummy_g4_03,4,improvement,activity_improve_g4,leo_minimal_pair,minimal_pair,minimal_pair,prompt_ship_sheep,ship,1,1,,1490,0.90,0.21,2,0.85,medium,ship,sheep,0,2,0.5,0.5,1,vowel_mismatch,completed,sh ih p,sh iy p,1,0.33,0,0,1,0,0,0,1,vowel_substitution,0.83,,partial_match,0.71,1,0,sheep,vowel_mismatch,high_support,0.91,dummy_example,DUMMY_LABELER,2026-08-10T08:50:00.000Z,2026-08-10T08:49:30.000Z,P-DUMMY-03,1
ATT-DUMMY-013,SES-DUMMY-007,STU-DUMMY-004,dummy_g5_04,5,identification,activity_identify_g5,leo_word,read_aloud_word,word,prompt_plane,plane,1,1,,1710,1.08,0.16,1,0.92,high,plane,plane,1,0,1,0,0,none,completed,p l ey n,p l ey n,0,0,0,0,0,0,0,0,0,none,0.96,,correct,0.94,3,1,plane,none,low_support,0.90,dummy_example,DUMMY_LABELER,2026-08-10T09:00:00.000Z,2026-08-10T08:59:00.000Z,P-DUMMY-04,1
ATT-DUMMY-014,SES-DUMMY-007,STU-DUMMY-004,dummy_g5_04,5,identification,activity_identify_g5,leo_pseudoword,read_aloud_pseudoword,pseudoword,prompt_drum,druv,1,1,,1570,0.98,0.18,2,0.87,medium,druv,duv,0,1,0.75,0.25,1,consonant_cluster_error,completed,d r uw v,d uw v,1,0.25,0,0,0,1,1,0,0,cluster_deletion,0.87,,partial_match,0.78,1,0,duv,consonant_cluster_error,low_support,0.90,dummy_example,DUMMY_LABELER,2026-08-10T09:00:00.000Z,2026-08-10T08:59:30.000Z,P-DUMMY-04,1
ATT-DUMMY-015,SES-DUMMY-008,STU-DUMMY-005,dummy_g5_05,5,improvement,activity_improve_g5,leo_sentence,read_aloud_sentence,sentence,prompt_rain,rain falls today,1,1,,2300,1.45,0.25,3,0.81,medium,rain falls today,rain fall today,0,1,0.93,0.07,1,final_sound_error,completed,r ey n f ao l z t ah d ey,r ey n f ao l t ah d ey,1,0.1,0,1,0,0,1,0,0,final_deletion,0.84,,partial_match,0.75,1,0,rain fall today,final_sound_error,medium_support,0.88,dummy_example,DUMMY_LABELER,2026-08-10T09:10:00.000Z,2026-08-10T09:09:00.000Z,P-DUMMY-05,1
ATT-DUMMY-016,SES-DUMMY-008,STU-DUMMY-005,dummy_g5_05,5,improvement,activity_improve_g5,leo_sentence,read_aloud_sentence,sentence,prompt_rain,rain falls today,2,0,microphone_timeout,0,,,,,,rain falls today,,0,,,,,invalid_audio,not_run,,,,,,,,,,,,,,,,,0,,,,needs_review,0.70,dummy_example,DUMMY_LABELER,2026-08-10T09:10:00.000Z,2026-08-10T09:09:30.000Z,P-DUMMY-05,1
ATT-DUMMY-017,SES-DUMMY-009,STU-DUMMY-006,dummy_g2_06,2,identification,activity_identify_g2,leo_word,read_aloud_word,word,prompt_bed,bed,1,1,,1300,0.77,0.20,2,0.80,medium,bed,bad,0,1,0.67,0.33,1,vowel_mismatch,completed,b eh d,b ae d,1,0.33,0,0,1,0,0,0,1,vowel_substitution,0.82,,partial_match,0.70,1,0,bad,vowel_mismatch,high_support,0.94,dummy_example,DUMMY_LABELER,2026-08-10T09:20:00.000Z,2026-08-10T09:19:00.000Z,P-DUMMY-06,1
