session_id,grade,mode,activity_id,status,total_attempts,valid_attempts,invalid_attempts,retry_rate,word_accuracy,pseudoword_accuracy,sentence_accuracy,mean_character_error_rate,mean_word_error_rate,mean_partial_match_score,mean_phoneme_error_rate,initial_sound_error_rate,final_sound_error_rate,vowel_mismatch_rate,consonant_cluster_error_rate,common_phoneme_error_pattern,mean_speech_duration_sec,mean_pause_count,mean_audio_quality_score,mean_pronunciation_model_score,labelled_attempt_count,speech_support_label,label_confidence,dataset_ready,created_at,completed_at,participant_code,is_dummy_data
SES-DUMMY-001,2,identification,activity_identify_g2,completed,2,2,0,0,1,1,,0,0,1,0,0,0,0,0,none,0.7,0,0.945,0.95,2,low_support,0.95,1,2026-08-10T07:58:00.000Z,2026-08-10T08:00:00.000Z,P-DUMMY-01,1
SES-DUMMY-002,2,improvement,activity_improve_g2,completed,2,2,0,0.5,,,1,0,0,1,0,0,0,0,0,none,1.385,1.5,0.89,0.91,2,low_support,0.92,1,2026-08-10T08:08:00.000Z,2026-08-10T08:10:00.000Z,P-DUMMY-01,1
SES-DUMMY-003,3,identification,activity_identify_g3,completed,2,2,0,0,1,0,,0.125,0.5,0.875,0.125,0.5,0,0,0,initial_deletion,0.835,1.5,0.885,0.86,2,medium_support,0.86,1,2026-08-10T08:18:00.000Z,2026-08-10T08:20:00.000Z,P-DUMMY-02,1
SES-DUMMY-004,3,improvement,activity_improve_g3,completed,2,1,1,0.5,0,,,0.25,1,0.75,0.25,0,0,0,1,cluster_deletion,0.91,2,0.84,0.76,2,medium_support,0.84,1,2026-08-10T08:28:00.000Z,2026-08-10T08:30:00.000Z,P-DUMMY-02,1
SES-DUMMY-005,4,identification,activity_identify_g4,completed,2,2,0,0,0,0,0,0.19,1,0.81,0.2,0,0,0,1,cluster_deletion,1.295,2.5,0.81,0.73,2,high_support,0.93,1,2026-08-10T08:38:00.000Z,2026-08-10T08:40:00.000Z,P-DUMMY-03,1
SES-DUMMY-006,4,improvement,activity_improve_g4,completed,2,2,0,0,0,,,0.375,1,0.625,0.33,0.5,0,0.5,0,vowel_substitution,0.915,2,0.84,0.72,2,high_support,0.91,1,2026-08-10T08:48:00.000Z,2026-08-10T08:50:00.000Z,P-DUMMY-03,1
SES-DUMMY-007,5,identification,activity_identify_g5,completed,2,2,0,0,1,0,,0.125,0.5,0.875,0.125,0,0,0,0.5,cluster_deletion,1.03,1.5,0.895,0.86,2,low_support,0.90,1,2026-08-10T08:58:00.000Z,2026-08-10T09:00:00.000Z,P-DUMMY-04,1
SES-DUMMY-008,5,improvement,activity_improve_g5,completed,2,1,1,0.5,,,0,0.07,1,0.93,0.1,0,1,0,0,final_deletion,1.45,3,0.81,0.75,2,medium_support,0.88,1,2026-08-10T09:08:00.000Z,2026-08-10T09:10:00.000Z,P-DUMMY-05,1
SES-DUMMY-009,2,identification,activity_identify_g2,completed,2,2,0,0,0,0,,0.665,1,0.335,0.665,0,0,0.5,0,deletion,0.815,2.5,0.79,0.625,2,high_support,0.94,1,2026-08-10T09:18:00.000Z,2026-08-10T09:20:00.000Z,P-DUMMY-06,1
SES-DUMMY-010,3,improvement,activity_improve_g3,completed,2,2,0,0,1,,1,0,0,1,0,0,0,0,0,none,1.075,0.5,0.945,0.945,2,low_support,0.96,1,2026-08-10T09:28:00.000Z,2026-08-10T09:30:00.000Z,P-DUMMY-07,1
SES-DUMMY-011,4,identification,activity_identify_g4,completed,2,2,0,0.5,1,0,,0.125,0.5,0.875,0.125,0,0,0,0.5,cluster_deletion,1,2.5,0.82,0.805,2,medium_support,0.87,1,2026-08-10T09:38:00.000Z,2026-08-10T09:40:00.000Z,P-DUMMY-08,1
SES-DUMMY-012,4,improvement,activity_improve_g4,completed,2,2,0,0,0,,0,0.13,1,0.87,0.17,0,0,0,1,cluster_deletion,1.37,3.5,0.76,0.685,2,high_support,0.92,1,2026-08-10T09:48:00.000Z,2026-08-10T09:50:00.000Z,P-DUMMY-08,1
